N;S1;S2;Delta
16158;10.26742;10.26742;3.576279e-07
16159;10.26748;10.26748;3.576279e-07
16160;10.26754;10.26755;3.576279e-07
16161;10.2676;10.26761;3.576279e-07
16162;10.26767;10.26767;3.576279e-07
16163;10.26773;10.26773;2.980232e-07
16164;10.26779;10.26779;2.980232e-07
16165;10.26785;10.26786;2.980232e-07
16166;10.26791;10.26792;2.980232e-07
16167;10.26798;10.26798;2.980232e-07
16168;10.26804;10.26804;2.980232e-07
16169;10.2681;10.2681;2.980232e-07
16170;10.26816;10.26817;2.980232e-07
16171;10.26822;10.26823;1.788139e-07
16172;10.26829;10.26829;1.788139e-07
16173;10.26835;10.26835;1.788139e-07
16174;10.26841;10.26841;1.788139e-07
16175;10.26847;10.26847;1.788139e-07
16176;10.26853;10.26854;1.788139e-07
16177;10.2686;10.2686;1.192093e-07
16178;10.26866;10.26866;1.192093e-07
16179;10.26872;10.26872;1.192093e-07
16180;10.26878;10.26878;1.192093e-07
16181;10.26884;10.26885;1.192093e-07
16182;10.26891;10.26891;1.192093e-07
16183;10.26897;10.26897;0
16184;10.26903;10.26903;0
16185;10.26909;10.26909;0
16186;10.26915;10.26915;1.192093e-07
16187;10.26922;10.26922;1.192093e-07
16188;10.26928;10.26928;1.192093e-07
16189;10.26934;10.26934;1.192093e-07
16190;10.2694;10.2694;1.192093e-07
16191;10.26946;10.26946;1.192093e-07
16192;10.26953;10.26952;2.384186e-07
16193;10.26959;10.26959;2.384186e-07
16194;10.26965;10.26965;2.384186e-07
16195;10.26971;10.26971;2.384186e-07
16196;10.26977;10.26977;2.384186e-07
16197;10.26984;10.26983;2.384186e-07
16198;10.2699;10.2699;2.384186e-07
16199;10.26996;10.26996;2.384186e-07
16200;10.27002;10.27002;3.576279e-07
16201;10.27008;10.27008;3.576279e-07
16202;10.27015;10.27014;3.576279e-07
16203;10.27021;10.2702;4.768372e-07
16204;10.27027;10.27027;4.768372e-07
16205;10.27033;10.27033;4.768372e-07
16206;10.27039;10.27039;5.960464e-07
16207;10.27046;10.27045;5.960464e-07
16208;10.27052;10.27051;5.960464e-07
16209;10.27058;10.27057;5.960464e-07
16210;10.27064;10.27064;5.960464e-07
16211;10.2707;10.2707;5.960464e-07
16212;10.27077;10.27076;5.960464e-07
16213;10.27083;10.27082;7.152557e-07
16214;10.27089;10.27088;7.152557e-07
16215;10.27095;10.27094;7.152557e-07
16216;10.27101;10.27101;8.34465e-07
16217;10.27108;10.27107;8.34465e-07
16218;10.27114;10.27113;8.34465e-07
16219;10.2712;10.27119;9.536743e-07
16220;10.27126;10.27125;9.536743e-07
16221;10.27132;10.27131;9.536743e-07
16222;10.27139;10.27138;1.072884e-06
16223;10.27145;10.27144;1.072884e-06
16224;10.27151;10.2715;1.072884e-06
16225;10.27157;10.27156;1.072884e-06
16226;10.27163;10.27162;1.072884e-06
16227;10.2717;10.27168;1.072884e-06
16228;10.27176;10.27175;1.192093e-06
16229;10.27182;10.27181;1.192093e-06
16230;10.27188;10.27187;1.311302e-06
16231;10.27194;10.27193;1.311302e-06
16232;10.27201;10.27199;1.311302e-06
16233;10.27207;10.27205;1.430511e-06
16234;10.27213;10.27212;1.430511e-06
16235;10.27219;10.27218;1.430511e-06
16236;10.27225;10.27224;1.430511e-06
16237;10.27232;10.2723;1.430511e-06
16238;10.27238;10.27236;1.549721e-06
16239;10.27244;10.27242;1.549721e-06
16240;10.2725;10.27248;1.66893e-06
16241;10.27256;10.27255;1.66893e-06
16242;10.27263;10.27261;1.788139e-06
16243;10.27269;10.27267;1.788139e-06
16244;10.27275;10.27273;1.907349e-06
16245;10.27281;10.27279;1.907349e-06
16246;10.27287;10.27285;1.907349e-06
16247;10.27294;10.27292;1.907349e-06
16248;10.273;10.27298;2.026558e-06
16249;10.27306;10.27304;2.026558e-06
16250;10.27312;10.2731;2.145767e-06
16251;10.27318;10.27316;2.145767e-06
16252;10.27325;10.27322;2.264977e-06
16253;10.27331;10.27328;2.264977e-06
16254;10.27337;10.27335;2.264977e-06
16255;10.27343;10.27341;2.264977e-06
16256;10.27349;10.27347;2.384186e-06
16257;10.27355;10.27353;2.264977e-06
16258;10.27362;10.27359;2.264977e-06
16259;10.27368;10.27365;2.264977e-06
16260;10.27374;10.27372;2.145767e-06
16261;10.2738;10.27378;2.145767e-06
16262;10.27386;10.27384;2.145767e-06
16263;10.27392;10.2739;2.026558e-06
16264;10.27398;10.27396;2.026558e-06
16265;10.27404;10.27402;1.907349e-06
16266;10.2741;10.27408;1.907349e-06
16267;10.27417;10.27415;1.907349e-06
16268;10.27423;10.27421;1.907349e-06
16269;10.27429;10.27427;1.788139e-06
16270;10.27435;10.27433;1.788139e-06
16271;10.27441;10.27439;1.66893e-06
16272;10.27447;10.27445;1.66893e-06
16273;10.27453;10.27452;1.549721e-06
16274;10.27459;10.27458;1.549721e-06
16275;10.27465;10.27464;1.549721e-06
16276;10.27471;10.2747;1.430511e-06
16277;10.27478;10.27476;1.430511e-06
16278;10.27484;10.27482;1.430511e-06
16279;10.2749;10.27488;1.430511e-06
16280;10.27496;10.27494;1.430511e-06
16281;10.27502;10.27501;1.311302e-06
16282;10.27508;10.27507;1.311302e-06
16283;10.27514;10.27513;1.192093e-06
16284;10.2752;10.27519;1.192093e-06
16285;10.27526;10.27525;1.072884e-06
16286;10.27532;10.27531;1.072884e-06
16287;10.27539;10.27537;1.072884e-06
16288;10.27545;10.27544;1.072884e-06
16289;10.27551;10.2755;1.072884e-06
16290;10.27557;10.27556;1.072884e-06
16291;10.27563;10.27562;9.536743e-07
16292;10.27569;10.27568;9.536743e-07
16293;10.27575;10.27574;8.34465e-07
16294;10.27581;10.2758;8.34465e-07
16295;10.27587;10.27587;8.34465e-07
16296;10.27594;10.27593;8.34465e-07
16297;10.276;10.27599;7.152557e-07
16298;10.27606;10.27605;7.152557e-07
16299;10.27612;10.27611;7.152557e-07
16300;10.27618;10.27617;5.960464e-07
16301;10.27624;10.27623;5.960464e-07
16302;10.2763;10.27629;5.960464e-07
16303;10.27636;10.27636;5.960464e-07
16304;10.27642;10.27642;5.960464e-07
16305;10.27648;10.27648;5.960464e-07
16306;10.27655;10.27654;5.960464e-07
16307;10.27661;10.2766;4.768372e-07
16308;10.27667;10.27666;4.768372e-07
16309;10.27673;10.27672;4.768372e-07
16310;10.27679;10.27678;4.768372e-07
16311;10.27685;10.27685;3.576279e-07
16312;10.27691;10.27691;3.576279e-07
16313;10.27697;10.27697;3.576279e-07
16314;10.27703;10.27703;2.384186e-07
16315;10.27709;10.27709;2.384186e-07
16316;10.27716;10.27715;2.384186e-07
16317;10.27722;10.27721;2.384186e-07
16318;10.27728;10.27728;2.384186e-07
16319;10.27734;10.27734;2.384186e-07
16320;10.2774;10.2774;2.384186e-07
16321;10.27746;10.27746;1.192093e-07
16322;10.27752;10.27752;1.192093e-07
16323;10.27758;10.27758;1.192093e-07
16324;10.27764;10.27764;1.192093e-07
16325;10.27771;10.27771;0
16326;10.27777;10.27777;0
16327;10.27783;10.27783;0
16328;10.27789;10.27789;0
16329;10.27795;10.27795;0
16330;10.27801;10.27801;1.192093e-07
16331;10.27807;10.27807;1.192093e-07
16332;10.27813;10.27813;1.192093e-07
16333;10.27819;10.27819;1.192093e-07
16334;10.27825;10.27826;1.788139e-07
16335;10.27832;10.27832;1.788139e-07
16336;10.27838;10.27838;1.788139e-07
16337;10.27844;10.27844;1.788139e-07
16338;10.2785;10.2785;1.788139e-07
16339;10.27856;10.27856;1.788139e-07
16340;10.27862;10.27862;2.980232e-07
16341;10.27868;10.27868;2.980232e-07
16342;10.27874;10.27875;2.980232e-07
16343;10.2788;10.27881;2.980232e-07
16344;10.27886;10.27887;2.980232e-07
16345;10.27893;10.27893;2.980232e-07
16346;10.27899;10.27899;3.576279e-07
16347;10.27905;10.27905;3.576279e-07
16348;10.27911;10.27911;3.576279e-07
16349;10.27917;10.27917;3.576279e-07
16350;10.27923;10.27923;3.576279e-07
16351;10.27929;10.2793;3.576279e-07
16352;10.27935;10.27936;4.768372e-07
16353;10.27941;10.27942;4.768372e-07
16354;10.27948;10.27948;4.768372e-07
16355;10.27954;10.27954;4.768372e-07
16356;10.2796;10.2796;4.768372e-07
16357;10.27966;10.27966;4.768372e-07
16358;10.27972;10.27972;4.768372e-07
16359;10.27978;10.27979;4.768372e-07
16360;10.27984;10.27985;4.768372e-07
16361;10.2799;10.27991;4.768372e-07
16362;10.27996;10.27997;4.768372e-07
16363;10.28002;10.28003;4.768372e-07
16364;10.28009;10.28009;5.364418e-07
16365;10.28015;10.28015;5.364418e-07
16366;10.28021;10.28021;5.364418e-07
16367;10.28027;10.28027;5.364418e-07
16368;10.28033;10.28034;5.364418e-07
16369;10.28039;10.2804;5.364418e-07
16370;10.28045;10.28046;5.364418e-07
16371;10.28051;10.28052;5.364418e-07
16372;10.28057;10.28058;5.364418e-07
16373;10.28063;10.28064;5.364418e-07
16374;10.2807;10.2807;5.364418e-07
16375;10.28076;10.28076;5.364418e-07
16376;10.28082;10.28082;5.364418e-07
16377;10.28088;10.28088;5.364418e-07
16378;10.28094;10.28095;5.364418e-07
16379;10.281;10.28101;5.364418e-07
16380;10.28106;10.28107;5.364418e-07
16381;10.28112;10.28113;5.364418e-07
16382;10.28118;10.28119;6.556511e-07
16383;10.28125;10.28125;6.556511e-07
16384;10.28131;10.28131;6.556511e-07
16385;10.28137;10.28137;6.556511e-07
16386;10.28143;10.28144;6.556511e-07
16387;10.28149;10.2815;6.556511e-07
16388;10.28155;10.28156;6.556511e-07
16389;10.28161;10.28162;6.556511e-07
16390;10.28167;10.28168;6.556511e-07
16391;10.28173;10.28174;6.556511e-07
16392;10.28179;10.2818;6.556511e-07
16393;10.28186;10.28186;5.364418e-07
16394;10.28192;10.28192;5.364418e-07
16395;10.28198;10.28198;5.364418e-07
16396;10.28204;10.28204;5.364418e-07
16397;10.2821;10.28211;5.364418e-07
16398;10.28216;10.28217;5.364418e-07
16399;10.28222;10.28223;5.364418e-07
16400;10.28228;10.28229;5.364418e-07
16401;10.28234;10.28235;5.364418e-07
16402;10.2824;10.28241;5.364418e-07
16403;10.28247;10.28247;5.364418e-07
16404;10.28253;10.28253;5.364418e-07
16405;10.28259;10.28259;5.364418e-07
16406;10.28265;10.28265;4.768372e-07
16407;10.28271;10.28271;4.768372e-07
16408;10.28277;10.28278;4.768372e-07
16409;10.28283;10.28284;4.768372e-07
16410;10.28289;10.2829;4.768372e-07
16411;10.28295;10.28296;4.768372e-07
16412;10.28302;10.28302;4.768372e-07
