4.82	0.000302359
4.83	0.000301079
4.84	0.000175088
4.85	2.34276e-05
4.86	0.000212239
4.87	0.000313137
4.88	0.000414036
4.89	0.000514935
4.9	0.000615833
4.91	0.000716732
4.92	0.00081763
4.93	0.000918529
4.94	0.00101943
4.95	0.00112033
4.96	0.00122122
4.97	0.00132212
4.98	0.00142302
4.99	0.00152392
5	0.00162482
5.01	0.00172572
5.02	0.00182662
5.03	0.00192752
5.04	0.00202841
5.05	0.00212931
5.06	0.00223021
5.07	0.00233111
5.08	0.00243201
5.09	0.00253291
5.1	0.00263381
5.11	0.0027347
5.12	0.0028356
5.13	0.0029365
5.14	0.0030374
5.15	0.0031383
5.16	0.0032392
5.17	0.0033401
5.18	0.0029588
5.19	0.00135192
5.2	0.000814946
5.21	0.00264425
5.22	0.00337826
5.23	0.00411227
5.24	0.00484629
5.25	0.0055803
5.26	0.00631431
5.27	0.00704832
5.28	0.00778234
5.29	0.00851635
5.3	0.00925036
5.31	0.00998438
5.32	0.0107184
5.33	0.0114524
5.34	0.0121864
5.35	0.0129204
5.36	0.0136544
5.37	0.0143885
5.38	0.0151225
5.39	0.0158565
5.4	0.0165905
5.41	0.0173245
5.42	0.0180585
5.43	0.0187925
5.44	0.0195265
5.45	0.0202606
5.46	0.0209946
5.47	0.0217286
5.48	0.0224626
5.49	0.0231966
5.5	0.0239306
5.51	0.0246646
5.52	0.0229309
5.53	0.0116988
5.54	0.00437908
5.55	0.0186431
5.56	0.0251849
5.57	0.0270702
5.58	0.0289555
5.59	0.0308408
5.6	0.0327261
5.61	0.0346114
5.62	0.0364966
5.63	0.0383819
5.64	0.0402672
5.65	0.0421525
5.66	0.0440378
5.67	0.0459231
5.68	0.0478084
5.69	0.0496937
5.7	0.051579
5.71	0.0534643
5.72	0.0553496
5.73	0.0572349
5.74	0.0591202
5.75	0.0610055
5.76	0.0628908
5.77	0.0647761
5.78	0.0666614
5.79	0.0685467
5.8	0.070432
5.81	0.0723173
5.82	0.0742026
5.83	0.0760879
5.84	0.0779732
5.85	0.0798585
5.86	0.0672449
5.87	0.0301685
5.88	0.0194041
5.89	0.0609393
5.9	0.079227
5.91	0.0827487
5.92	0.0861023
5.93	0.0894558
5.94	0.0928094
5.95	0.0961629
5.96	0.0995164
5.97	0.10287
5.98	0.106224
5.99	0.109577
6	0.112931
6.01	0.116284
6.02	0.119638
6.03	0.122991
6.04	0.126345
6.05	0.129698
6.06	0.133052
6.07	0.136405
6.08	0.139759
6.09	0.143112
6.1	0.146466
6.11	0.14982
6.12	0.153173
6.13	0.156527
6.14	0.15988
6.15	0.163234
6.16	0.166587
6.17	0.169941
6.18	0.173294
6.19	0.163408
6.2	0.129709
6.21	0.0714895
6.22	0.00180348
6.23	0.0749679
6.24	0.13339
6.25	0.168561
6.26	0.181605
6.27	0.182811
6.28	0.184016
6.29	0.185222
6.3	0.186428
6.31	0.187633
6.32	0.188839
6.33	0.190044
6.34	0.19125
6.35	0.192455
6.36	0.193661
6.37	0.194866
6.38	0.196072
6.39	0.197277
6.4	0.198483
6.41	0.199688
6.42	0.200894
6.43	0.2021
6.44	0.203305
6.45	0.204511
6.46	0.205716
6.47	0.206922
6.48	0.208127
6.49	0.209333
6.5	0.210538
6.51	0.211744
6.52	0.211668
6.53	0.19515
6.54	0.153839
6.55	0.0896551
6.56	0.0139916
6.57	0.0616718
6.58	0.132608
6.59	0.185582
6.6	0.2148
6.61	0.224309
6.62	0.226318
6.63	0.228327
6.64	0.230336
6.65	0.232345
6.66	0.234354
6.67	0.236363
6.68	0.238372
6.69	0.240381
6.7	0.24239
6.71	0.244399
6.72	0.246408
6.73	0.248417
6.74	0.250426
6.75	0.252435
6.76	0.254444
6.77	0.256453
6.78	0.258462
6.79	0.260471
6.8	0.262481
6.81	0.26449
6.82	0.266499
6.83	0.268508
6.84	0.270517
6.85	0.270088
6.86	0.252082
6.87	0.208641
6.88	0.142442
6.89	0.0655899
6.9	0.0112625
6.91	0.0881148
6.92	0.164967
6.93	0.228901
6.94	0.269952
6.95	0.287632
6.96	0.291135
6.97	0.294638
6.98	0.298141
6.99	0.301644
7	0.305147
7.01	0.308649
7.02	0.312152
7.03	0.315655
7.04	0.319158
7.05	0.322661
7.06	0.326164
7.07	0.329667
7.08	0.33317
7.09	0.336673
7.1	0.340176
7.11	0.343679
7.12	0.347182
7.13	0.350685
7.14	0.354188
7.15	0.357691
7.16	0.361194
7.17	0.364697
7.18	0.354258
7.19	0.319135
7.2	0.258811
7.21	0.183206
7.22	0.107602
7.23	0.0319978
7.24	0.0436065
7.25	0.119211
7.26	0.194815
7.27	0.270419
7.28	0.332485
7.29	0.371555
7.3	0.387696
7.31	0.390472
7.32	0.393248
7.33	0.396024
7.34	0.398801
7.35	0.401577
7.36	0.404353
7.37	0.407129
7.38	0.409906
7.39	0.412682
7.4	0.415458
7.41	0.418235
7.42	0.421011
7.43	0.423787
7.44	0.426563
7.45	0.42934
7.46	0.432116
7.47	0.434892
7.48	0.437668
7.49	0.440445
7.5	0.44163
7.51	0.425633
7.52	0.383979
7.53	0.318822
7.54	0.242049
7.55	0.165277
7.56	0.0885041
7.57	0.0117317
7.58	0.0650408
7.59	0.141813
7.6	0.218586
7.61	0.295358
7.62	0.371772
7.63	0.432875
7.64	0.470058
7.65	0.484618
7.66	0.487224
7.67	0.48983
7.68	0.492437
7.69	0.495043
7.7	0.497649
7.71	0.500256
7.72	0.502862
7.73	0.505468
7.74	0.508074
7.75	0.510681
7.76	0.513287
7.77	0.515893
7.78	0.518499
7.79	0.521106
7.8	0.523712
7.81	0.526318
7.82	0.52734
7.83	0.510733
7.84	0.467757
7.85	0.400593
7.86	0.32144
7.87	0.242287
7.88	0.163135
7.89	0.083982
7.9	0.00482935
7.91	0.0743233
7.92	0.153476
7.93	0.232629
7.94	0.311781
7.95	0.390934
7.96	0.467828
7.97	0.527779
7.98	0.56312
7.99	0.576378
8	0.579229
8.01	0.582079
8.02	0.584929
8.03	0.587779
8.04	0.590629
8.05	0.593479
8.06	0.596329
8.07	0.599179
8.08	0.60203
8.09	0.60488
8.1	0.60773
8.11	0.61058
8.12	0.61343
8.13	0.61628
8.14	0.604864
8.15	0.567924
8.16	0.504776
8.17	0.425592
8.18	0.346408
8.19	0.267224
8.2	0.18804
8.21	0.108856
8.22	0.0296717
8.23	0.0495123
8.24	0.128696
8.25	0.20788
8.26	0.287065
8.27	0.366249
8.28	0.445433
8.29	0.524617
8.3	0.589039
8.31	0.628829
8.32	0.644319
8.33	0.645905
8.34	0.647492
8.35	0.649079
8.36	0.650666
8.37	0.652253
8.38	0.65384
8.39	0.655427
8.4	0.657014
8.41	0.658601
8.42	0.660188
8.43	0.661774
8.44	0.663361
8.45	0.664593
8.46	0.648803
8.47	0.606375
8.48	0.538727
8.49	0.457724
8.5	0.37672
8.51	0.295717
8.52	0.214713
8.53	0.13371
8.54	0.0527063
8.55	0.0282972
8.56	0.109301
8.57	0.190304
8.58	0.271308
8.59	0.352311
8.6	0.433315
8.61	0.514318
8.62	0.595081
8.63	0.659547
8.64	0.698409
8.65	0.712967
8.66	0.714586
8.67	0.716206
8.68	0.717826
8.69	0.719445
8.7	0.721065
8.71	0.722685
8.72	0.724304
8.73	0.725924
8.74	0.727544
8.75	0.729164
